company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,second_taste,third_taste,fourth_taste
Anahata,U.S.A,2014,Dominican republic,Elvesia,75,3,2,0,0,0,0,1,0,chalky,mild fruit,burnt,
Animas,U.S.A,2016,Bolivia,Alto Beni,75,3.5,2,0,0,0,0,1,0,light roast,caramel,cocoa,
Ara,France,2014,Madagascar,Madagascar,75,3,3,1,0,0,0,1,0,sandy,fruity,short,
Ara,France,2014,Venezuela,Trincheras,75,3,3,1,0,0,0,1,0,nutty,mild spice,mild earthy,
Ara,France,2014,Ecuador,Equateur,75,2.75,3,1,0,0,0,1,0,bitter,floral,leather,
Ara,France,2014,Mexico,Chiapas,72,2.5,3,1,0,0,0,1,0,earthy,sour milk,leather,
Arete,U.S.A,2015,Nicaragua,Chuno,70,4,2,0,0,0,0,1,0,creamy,sticky,peanut butter,
Arete,U.S.A,2015,Ecuador,"Puerto Quito, heirloom",70,3.75,2,0,0,0,0,1,0,spicy,cocoa,,
Arete,U.S.A,2015,Belize,Maya Mountain,70,3.75,2,0,0,0,0,1,0,floral,strawberry,metallic,
Arete,U.S.A,2015,Brazil,Fazenda Camboa,70,3.5,2,0,0,0,0,1,0,creamy,rich,rum,roasty
Arete,U.S.A,2015,Peru,Nacional,68,3.5,2,0,0,0,0,1,0,floral,nutty,rich,
Arete,U.S.A,2015,Dominican republic,Oko Caribe,70,3.5,2,0,0,0,0,1,0,spicy,brownie,nutty,
Arete,U.S.A,2015,Ecuador,Camino Verde,75,3.5,3,1,0,0,0,1,0,intense,floral,bourbon,
Arete,U.S.A,2015,Guatemala,Guatemala,70,3.25,2,0,0,0,0,1,0,strawberry,butterscotch,,
Arete,U.S.A,2015,Brazil,Fazenda Camboa,75,2.75,2,0,0,0,0,1,0,floral,chemical,,
Arete,U.S.A,2016,Costa rica,"Coto Brus, Terciopelo",70,4,2,0,0,0,0,1,0,balanced,cherry,choco,
Arete,U.S.A,2016,Peru,Phantom,70,4,2,0,0,0,0,1,0,creamy,complex,balanced,
Arete,U.S.A,2016,Tanzania,Kokoa Kamili,70,3.75,2,0,0,0,0,1,0,appealing smoke,woody,,
Arete,U.S.A,2016,Nicaragua,Rugoso,70,3.75,3,1,0,0,0,1,0,muddy,rich,raspberry,
Arete,U.S.A,2016,Dominican republic,Elvesia,70,3.75,2,0,0,0,0,1,0,dark berry,chocolatey,,
Arete,U.S.A,2016,Trinidad,San Juan,70,3.5,2,0,0,0,0,1,0,delicate,simple,,
Arete,U.S.A,2016,Vietnam,Tien Giang,73,3.5,3,1,0,0,0,1,0,cashew,roasty,chunky melt,
Arete,U.S.A,2016,Guatemala,Lachua,70,3.5,2,0,0,0,0,1,0,subtle,mysterious,,
Arete,U.S.A,2016,Honduras,"La Masica, FHIA",70,3.5,2,0,0,0,0,1,0,nutty,green,,
Arete,U.S.A,2016,Ecuador,Hacienda Victoria,70,3.25,3,1,0,0,0,1,0,sticky,floral,roasty,
Arete,U.S.A,2016,Ecuador,Costa Esmeraldas,70,3.25,3,1,0,0,0,1,0,chewy,mild floral,,
Arete,U.S.A,2016,Fiji,Matasawalevu,70,3.25,2,0,0,0,0,1,0,smoke,hammy,cocoa base,
Arete,U.S.A,2016,Vietnam,Lam Dong,73,3.25,2,0,0,0,0,1,0,earthy,nutty,cardboard,
Arete,U.S.A,2017,Bolivia,Beniano,70,4,2,0,0,0,0,1,0,creamy,bright fruit,,
Arete,U.S.A,2017,Haiti,Pisa,70,4,2,0,0,0,0,1,0,long lasting,cocoa,,
Arete,U.S.A,2017,India,Anamalai,70,3.5,2,0,0,0,0,1,0,slight roasty,basic,,
Arete,U.S.A,2017,Madagascar,Sambirano Valley,70,3.5,3,1,0,0,0,1,0,sour fruit,,,
Arete,U.S.A,2017,Vietnam,Ben Tre,73,3.5,3,1,0,0,0,1,0,rich,mild roasty,,
Arete,U.S.A,2017,Peru,Ucayali,70,3.5,3,1,0,0,0,1,0,dried fruit,fig,anise,
Arete,U.S.A,2018,Colombia,Tumaco,70,4,2,0,0,0,0,1,0,smooth,nutty,cocoa,
Arete,U.S.A,2018,Trinidad,Ramnath E.,70,3,2,0,0,0,0,1,0,nuts,dried fruit,short,
Arete,U.S.A,2019,India,Jangareddygudem,70,3.25,3,1,0,0,0,1,0,herbs,mushroom,acidic,
Arete,U.S.A,2019,India,Idukki,70,3,3,1,0,0,0,1,0,burn butterscotch,rubbery,,
Argencove,Nicaragua,2018,Nicaragua,Mombacho,70,3.5,2,0,0,0,0,1,0,smooth,vegetal,,
Argencove,Nicaragua,2018,Nicaragua,Cocibolca,70,3.5,2,0,0,0,0,1,0,roasty,rich,,
Argencove,Nicaragua,2018,Nicaragua,Masaya,70,3.25,2,0,0,0,0,1,0,melon,late hammy,,
Argencove,Nicaragua,2018,Nicaragua,Apoyo,70,3,2,0,0,0,0,1,0,cocoa,earthy,hammy,
Artisan du Chocolat,U.k.,2008,Congo,Congo,72,3.75,3,1,0,0,0,1,0,spicy,minty,vegetal,
Artisan du Chocolat,U.k.,2009,Dominican republic,Dominican Republic,72,3.25,3,1,0,0,0,1,0,spice,cocoa,short,
Artisan du Chocolat,U.k.,2009,Madagascar,Madagascar,80,3,3,1,0,0,0,1,0,bitterness,cherry,rich,
Artisan du Chocolat,U.k.,2009,Peru,Peru,75,3,3,1,0,0,0,1,0,spicey,mild metallic,,
Artisan du Chocolat,U.k.,2009,Indonesia,Java,72,2.75,3,1,0,0,0,1,0,gritty,smokey,sour,
Artisan du Chocolat,U.k.,2009,Venezuela,"Ocumare, Venezuela",75,2.5,3,1,0,0,0,1,0,oily,nutty,burnt,sour
Artisan du Chocolat,U.k.,2009,Brazil,Brazil Rio Doce,72,1.75,3,1,0,0,0,1,0,cocoa,dominate note,,
Artisan du Chocolat,U.k.,2010,Jamaica,Jamaica,72,3.75,3,1,0,0,0,1,0,grassy,black licorice,mint,
Artisan du Chocolat,U.k.,2010,Indonesia,Bali,72,3.5,3,1,0,0,0,1,0,black pepper banana,,,
Artisan du Chocolat,U.k.,2010,Costa rica,Costa Rica,72,3.25,3,1,0,0,0,1,0,chewy,grassy,nutty,
Artisan du Chocolat,U.k.,2010,Vietnam,Ba Ria Vung Tau Province,72,3.25,3,1,0,0,0,1,0,unrefined,distinct spicey,,
Artisan du Chocolat,U.k.,2011,Haiti,Haiti,72,4,3,1,0,0,0,1,0,nuts,butterscotch,brownie,
Artisan du Chocolat,U.k.,2011,Panama,Panama,72,2.75,3,1,0,0,0,1,0,blackpepper,chemical,rubber,
Artisan du Chocolat,U.k.,2012,Colombia,"Colombia, Casa Luker",72,3.75,3,1,0,0,0,1,0,marshmallow,roasty,nutty,
Artisan du Chocolat,U.k.,2013,Trinidad,"Trinidad, Heritage, Limited ed.",72,3.25,3,1,0,0,0,1,0,gritty,nutty,,
Artisan du Chocolat (Casa Luker),U.k.,2013,Colombia,"Orinoqua Region, Arauca",72,2.75,4,1,0,1,0,1,0,creamy,marshmallow,,
Askinosie,U.S.A,2007,Ecuador,San Jose del Tambo,70,3,2,0,0,0,0,1,0,smooth,astringent,cocoa,
Askinosie,U.S.A,2007,Mexico,Xoconusco,75,2.5,2,0,0,0,0,1,0,leather,black licorice,,
Askinosie,U.S.A,2009,Philippines,Davao,77,3.75,2,0,0,0,0,1,0,strawberries,mild tart,roasty,
Askinosie,U.S.A,2011,Tanzania,"Tenende, Uwate",72,3.75,2,0,0,0,0,1,0,creamy,woody,cocoa,
Askinosie,U.S.A,2011,Honduras,Cortes,70,3.75,2,0,0,0,0,1,0,grapes,woody,roasty,
Askinosie,U.S.A,2016,Tanzania,Mababa,68,3.75,3,1,0,0,0,1,0,creamy,rich,blueberry,
Atypic,Australia,2019,Solomon islands,Solomon Islands,70,3,4,1,0,1,0,1,0,aroma,vegetal,honey,sandy
Auro,Philippines,2018,Philippines,"Saloy E., 2016",70,3.5,3,1,0,0,0,1,0,long,bright fruit,sweet,sour
Auro,Philippines,2018,Philippines,"Paquibao E., 2016",70,3,3,1,0,0,0,1,0,waxy,dried fruit,,
Auro,Philippines,2018,Philippines,South Cotabato,70,3,3,1,0,0,0,1,0,sandy,roasty,nutty,
Auro,Philippines,2018,Philippines,Davao,77,2.75,4,0,1,1,0,1,0,sandy,vanilla,,
Bahen & Co.,Australia,2012,Madagascar,Sambirano,70,3,2,0,0,0,0,1,0,unrefined,flat,grassy,
Bahen & Co.,Australia,2012,Brazil,Bahia,70,2.5,2,0,0,0,0,1,0,chalky,intense,chemical,
Bahen & Co.,Australia,2012,Blend,Houseblend,70,2.5,2,0,0,0,0,1,0,chalky,fragrant,,
Bahen & Co.,Australia,2015,Papua new guinea,Papua New Guinea,70,3.5,2,0,0,0,0,1,0,smoke,ham,papaya,
Bahen & Co.,Australia,2015,Blend,Houseblend,80,3.25,2,0,0,0,0,1,0,coarse,smokey,metallic,
Baiani,Brazil,2018,Brazil,"Bahia, Vale Potumujo",70,3,2,0,0,0,0,1,0,bland,sugary,large grits,
Bakau,Peru,2015,Peru,"Huallabamba, 2015",70,3.5,3,1,0,0,0,1,0,black pepper,cardamom,,
Bakau,Peru,2015,Peru,"Bambamarca, 2015",70,2.75,3,1,0,0,0,1,0,molasses,caramel,pungent,
Bankston,U.S.A,2019,Tanzania,Kokoa Kamili,72,3.25,3,1,0,0,0,1,0,basic,mild fruit,roasty,
Bankston,U.S.A,2019,Uganda,Uganda,82,2.75,3,1,0,0,0,1,0,bitter,fatty,mild fruit,
Bankston,U.S.A,2019,Belize,Belize,72,2.5,3,1,0,0,0,1,0,gritty,fatty,sour,
Bar Au Chocolat,U.S.A,2012,Madagascar,Sambirano,70,3.75,2,0,0,0,0,1,0,raspberry,mild sour,,
Bar Au Chocolat,U.S.A,2012,Mexico,Chiapas,70,3.5,2,0,0,0,0,1,0,molasses,toffee,coffee grounds,
Bar Au Chocolat,U.S.A,2012,Dominican republic,Duarte Province,70,3.25,2,0,0,0,0,1,0,complex,black pepper,coffee,
Bar Au Chocolat,U.S.A,2014,Peru,Maranon Canyon,70,4,2,0,0,0,0,1,0,creamy,rounded,orange,
Bar Au Chocolat,U.S.A,2015,Brazil,Bahia,70,3.5,2,0,0,0,0,1,0,intense,smokey,dried fruit,
Bar Au Chocolat,U.S.A,2017,Costa rica,"Turrialba, Cartago P.",72,3.5,2,0,0,0,0,1,0,slightly dry,cocoa,berry,
Bar Au Chocolat,U.S.A,2017,Trinidad,Montserrat Hills,80,3.5,2,0,0,0,0,1,0,intense,tangy,alcohol,
Baravelli's,Wales,2012,Costa rica,single estate,80,2.75,4,1,1,0,0,1,0,gritty,floral,vanilla,
Batch,U.S.A,2016,Brazil,Brazil,70,3.75,3,1,0,0,0,1,0,strawberry,candy flavor,,
Batch,U.S.A,2016,Dominican republic,"Dominican Republic, Batch 3",65,3.5,3,1,0,0,0,1,0,creamy,sweet,fudgey,
Batch,U.S.A,2016,Ecuador,Ecuador,65,3.25,3,1,0,0,0,1,0,sandy,floral,sweet,
Bean,U.k.,2019,Peru,Peru,70,2.25,4,1,1,0,0,1,0,strong vanilla,notes,,
Beau Cacao,U.k.,2017,Malaysia,"Serian E., NW Borneo, b. #134/3800",72,3.25,3,1,0,0,0,1,0,smokey,woody,tobacco,
Beau Cacao,U.k.,2017,Malaysia,"Asajaya E, NW Borneo, b. #132/4500",73,3,3,1,0,0,0,1,0,caramel,spice,earthy,
Beehive,U.S.A,2016,Brazil,"Brazil, Batch 20316",80,2.75,3,1,0,0,0,1,0,intense,bitter,dry,
Beehive,U.S.A,2016,Dominican republic,"Dominican Republic, Batch 31616",70,2.75,3,1,0,0,0,1,0,sandy,sweet,molasses,
Beehive,U.S.A,2016,Ecuador,"Ecuador, Batch 31516",70,2.75,3,1,0,0,0,1,0,intense,floral,black pepper,
Beehive,U.S.A,2016,Ecuador,Ecuador,90,2.75,3,1,0,0,0,1,0,intense floral,bitter,earthy,
Belcolade,Belgium,2010,Ecuador,Ecuador,71,3.5,4,1,0,1,0,1,0,dry,cinamon,nutmeg,
Belcolade,Belgium,2010,Costa rica,Costa Rica,64,2.75,4,1,0,1,0,1,0,pastey,nutty,,
Belcolade,Belgium,2010,Papua new guinea,Papua New Guinea,64,2.75,4,1,0,1,0,1,0,intense,smokey,,
Belcolade,Belgium,2010,Peru,Peru,64,2.75,4,1,0,1,0,1,0,sticky,moss,nuts,
Bellflower,U.S.A,2016,Tanzania,"Kokao Kamili, Kilombero Valley",70,3.5,3,1,0,0,0,1,0,sticky,delicate,melon,
Bellflower,U.S.A,2016,Dominican republic,"Oko Caribe, Duarte P.",70,3.5,2,0,0,0,0,1,0,caramel,mild dried fruit,,
Bellflower,U.S.A,2016,Bolivia,"Alto Beni, Palos Blanco",70,3.25,3,1,0,0,0,1,0,oily,complex,pungent,
Belvie,Vietnam,2018,Vietnam,Lam Dong,75,3.25,3,1,0,0,0,1,0,acidicity,nutty,roasty,
Belyzium,Germany,2016,Belize,Belize south,83,3.5,3,1,0,0,0,1,0,balanced,complex,berry,
Belyzium,Germany,2016,Belize,Belize south,78,3,3,1,0,0,0,1,0,sweet,nibby,green,
Belyzium,Germany,2016,Belize,"Belize south, low fermentation",83,2.75,3,1,0,0,0,1,0,unbalanced,tangy,pungent,
Benns,Singapore,2018,Vietnam,Vung Tau,72,3,4,1,0,1,0,1,0,gummy,roasty,fatty,
Benns,Singapore,2018,India,"Anamalai, 2018 harvest",72,3,4,1,0,1,0,1,0,gummy,fatty,sour,
Benns,Singapore,2018,Malaysia,"Sungai Ruan, Koh Farm",72,3,4,1,0,1,0,1,0,aroma,smokey,note,
Benoit Nihant,Belgium,2011,Indonesia,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",72,4,3,1,0,0,0,1,0,smokey,raspberries,cocoa,
Benoit Nihant,Belgium,2011,Madagascar,"Somia Plantation, Sambirano, 70hr C",72,3.75,3,1,0,0,0,1,0,intense,red berry,strawberry,
Benoit Nihant,Belgium,2013,Ecuador,Rio Peripa H.,73,4,3,1,0,0,0,1,0,cinamon nutmeg,,,
Benoit Nihant,Belgium,2013,Cuba,Baracoa,74,3.5,3,1,0,0,0,1,0,tobacco,dairy,sour,
